iter	Passed	Remaining
635	31346	17940
636	31394	17890
637	31442	17840
638	31492	17791
639	31543	17743
640	31595	17695
641	31642	17644
642	31691	17595
643	31740	17546
644	31791	17497
645	31843	17450
646	31895	17402
647	31947	17354
648	31997	17305
649	32051	17258
650	32106	17212
651	32154	17162
652	32204	17113
653	32257	17065
654	32315	17021
655	32371	16975
656	32426	16929
657	32476	16879
658	32525	16830
659	32575	16781
660	32624	16731
661	32675	16683
662	32724	16633
663	32775	16585
664	32823	16535
665	32872	16485
666	32923	16436
667	32973	16388
668	33023	16339
669	33076	16291
670	33135	16246
671	33199	16204
672	33255	16158
673	33305	16109
674	33355	16059
675	33404	16010
676	33454	15961
677	33503	15911
678	33552	15861
679	33601	15812
680	33651	15763
681	33700	15713
682	33752	15665
683	33803	15616
684	33852	15567
685	33902	15518
686	33952	15468
687	34000	15418
688	34046	15367
689	34092	15317
690	34142	15267
691	34195	15220
692	34246	15171
693	34292	15120
694	34344	15071
695	34390	15021
696	34440	14971
697	34489	14922
698	34539	14873
699	34589	14824
700	34638	14774
701	34688	14725
702	34739	14676
703	34788	14626
704	34837	14577
705	34888	14528
706	34936	14478
707	34987	14429
708	35038	14381
709	35086	14331
710	35140	14283
711	35192	14235
712	35243	14186
713	35292	14136
714	35341	14087
715	35391	14037
716	35441	13988
717	35491	13939
718	35541	13890
719	35591	13841
720	35642	13792
721	35690	13742
722	35740	13693
723	35788	13643
724	35840	13594
725	35890	13545
726	35940	13496
727	35988	13446
728	36039	13397
729	36089	13348
730	36138	13298
731	36190	13249
732	36239	13200
733	36287	13150
734	36338	13101
735	36387	13052
736	36436	13002
737	36486	12953
738	36536	12904
739	36586	12854
740	36636	12805
741	36686	12756
742	36733	12706
743	36778	12655
744	36827	12605
745	36876	12555
746	36926	12506
747	36976	12457
748	37025	12407
749	37077	12359
750	37125	12309
751	37174	12259
752	37224	12210
753	37274	12161
754	37324	12111
755	37373	12062
756	37422	12012
757	37475	11964
758	37531	11917
759	37581	11867
760	37629	11817
761	37678	11768
762	37728	11718
763	37779	11669
764	37829	11620
765	37879	11571
766	37928	11521
767	37977	11472
768	38028	11423
769	38076	11373
770	38126	11324
771	38177	11275
772	38227	11225
773	38283	11178
774	38335	11129
775	38385	11080
776	38435	11030
777	38484	10981
778	38533	10931
779	38590	10884
780	38640	10835
781	38691	10786
782	38740	10736
783	38789	10686
784	38839	10637
785	38890	10588
786	38939	10538
787	38990	10489
788	39039	10440
789	39088	10390
790	39138	10341
791	39187	10291
792	39238	10242
793	39287	10192
794	39337	10143
795	39386	10094
796	39436	10044
797	39486	9995
798	39538	9946
799	39587	9896
800	39635	9847
801	39685	9797
802	39736	9748
803	39784	9698
804	39834	9649
805	39885	9600
806	39934	9550
807	39985	9501
808	40034	9451
809	40082	9402
810	40132	9352
811	40182	9303
812	40233	9254
813	40282	9204
814	40331	9154
815	40382	9105
816	40431	9056
817	40480	9006
818	40531	8957
819	40580	8907
820	40629	8858
821	40681	8809
822	40730	8759
823	40779	8710
824	40831	8661
825	40880	8611
826	40929	8562
827	40979	8512
828	41028	8463
829	41079	8413
830	41130	8364
831	41178	8314
832	41228	8265
833	41278	8216
834	41327	8166
835	41377	8117
836	41427	8067
837	41476	8018
838	41526	7968
839	41575	7919
840	41625	7869
841	41674	7820
842	41724	7770
843	41775	7721
844	41825	7672
845	41874	7622
846	41924	7573
847	41973	7523
848	42025	7474
849	42074	7424
850	42123	7375
851	42174	7326
852	42227	7277
853	42281	7228
854	42331	7179
855	42380	7129
856	42429	7079
857	42480	7030
858	42531	6981
859	42579	6931
860	42629	6882
861	42678	6832
862	42727	6782
863	42778	6733
864	42827	6683
865	42878	6634
866	42929	6585
867	42977	6535
868	43029	6486
869	43076	6436
870	43125	6387
871	43175	6337
872	43226	6288
873	43279	6239
874	43330	6190
875	43375	6139
876	43424	6090
877	43474	6040
878	43523	5991
879	43571	5941
880	43621	5892
881	43670	5842
882	43721	5793
883	43772	5743
884	43823	5694
885	43870	5644
886	43921	5595
887	43970	5545
888	44020	5496
889	44069	5446
890	44118	5397
891	44169	5347
892	44219	5298
893	44267	5248
894	44316	5199
895	44367	5149
896	44418	5100
897	44464	5050
898	44514	5001
899	44562	4951
900	44613	4901
901	44666	4852
902	44715	4803
903	44762	4753
904	44811	4703
905	44860	4654
906	44912	4605
907	44960	4555
908	45008	4505
909	45061	4456
910	45107	4406
911	45158	4357
